pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium retamae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CQ13_00155,,WP_057841016.1,,,SUPPLEMENTED,A0A0R3NDB4,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Caulobacter radicis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,DDF65_08150,,WP_116566276.1,,,SUPPLEMENTED,A0A2T9JM84,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium icense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,LMTR13_03675,,WP_065726719.1,,,SUPPLEMENTED,A0A1B1U9J1,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Pandoraea bronchicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,PBR20603_02806,,WP_150560111.1,,,SUPPLEMENTED,A0A5E5BWY6,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Pandoraea horticolens,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,PHO31112_04496,,WP_150623175.1,,,SUPPLEMENTED,A0A5E4YGY1,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Pandoraea pulmonicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,RO07_01115,,,,,SUPPLEMENTED,A0ABN4U8Z2,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Burkholderia territorii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,WT27_27860,,WP_060103823.1,,,SUPPLEMENTED,A0A119AX41,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
Atrazine,Ferrimicrobium acidiphilum DSM 19497,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_162484327.1,,,SUPPLEMENTED,A0A0D8FQP6,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Microbacterium azadirachtae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_045252025.1,,,SUPPLEMENTED,A0A0F0KDC7,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Microbacterium azadirachtae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_045273105.1,,,SUPPLEMENTED,A0A0F0LEY0,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Microbacterium hydrocarbonoxydans,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,,,,SUPPLEMENTED,A0A0M2HUD4,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_232021047.1,,,SUPPLEMENTED,A0A1Y2MIT3,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Roseisalinus antarcticus,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_085879395.1,,,SUPPLEMENTED,A0A1Y5T5T5,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Neomoorella humiferrea,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,,,,SUPPLEMENTED,A0A2T0ANZ0,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Gordonia insulae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_124709759.1,,,SUPPLEMENTED,A0A3G8JTA7,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pigmentiphaga humi,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_124079529.1,,,SUPPLEMENTED,A0A3P4B135,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Engelhardtia mirabilis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_145067630.1,,,SUPPLEMENTED,A0A518BNK4,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Candidatus Nitrosocosmicus oleophilus,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_196816896.1,,,SUPPLEMENTED,A0A654M531,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardia macrotermitis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_153410948.1,,,SUPPLEMENTED,A0A7K0D377,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Neomoorella thermoacetica (Clostridium thermoaceticum),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_069587993.1,,,SUPPLEMENTED,A0AAC9HFP3,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Sporomusa sphaeroides DSM 2875,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_075756972.1,,,SUPPLEMENTED,A0ABP2C7H1,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Streptomyces rimosus subsp. rimosus,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_003981583.1,,,SUPPLEMENTED,A0ABY3ZB80,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pandoraea pnomenusa,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_141570536.1,,,SUPPLEMENTED,A0ABY6WTW7,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Cupriavidus neocaledonicus,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,HYDROXY-ATRAZINE ETHYL AMINO HYDROLASE PROTEIN (EC 3.5.4.43),,atzB,,WP_018005214.1,,,SUPPLEMENTED,A0A375HAF0,,,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Herbaspirillum seropedicae (strain SmR1),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxy-atrazine ethyl amino hydrolase protein (EC 3.5.99.3),,atzB,,WP_013235205.1,,,SUPPLEMENTED,D8J1V8,,,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardia wallacei,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_187684643.1,,,SUPPLEMENTED,A0A7G1KUB6,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium sophorae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_171376429.1,,,SUPPLEMENTED,A0A7Y3WE38,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium redzepovicii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_131711222.1,,,SUPPLEMENTED,A0AAW8P500,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium changzhiense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_003538537.1,,,SUPPLEMENTED,A0ABR6AE06,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium brockwellii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_317276602.1,,,SUPPLEMENTED,A0ABU3YPR8,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium aouanii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_335910829.1,,,SUPPLEMENTED,A0ABU8CEV7,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium indicum,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_138390103.1,,,SUPPLEMENTED,A0ABX6PST4,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium indigoferae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_193445929.1,,,SUPPLEMENTED,A0ABZ1DQ12,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,[Clostridium] asparagiforme DSM 15981,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_007709969.1,,,SUPPLEMENTED,C0CYS8,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Rhizobium favelukesii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_024315609.1,,,SUPPLEMENTED,W6RQZ5,,,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbofuran,Nilaparvata lugens (Brown planthopper),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Carboxylic ester hydrolase (EC 3.1.1.-),,ace1,,,,,SUPPLEMENTED,H9BIC5,,,Imported from UniProt query 'carbofuran hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbofuran,Achromobacter sp. WM111,Gene Only,Experimentally reported enzyme; accession/source needs manual confirmation,Direct mapping from supplemental label: Experimentally reported enzyme; accession/source needs manual confirmation,Hydrolase,Carbofuran hydrolase,,mcd,,,,,SUPPLEMENTED,Q9KJV0,,UniProt record identifies mcd carbofuran hydrolase from Achromobacter sp. WM111; add primary citation before import.,"Good candidate, but primary publication metadata was not present in UniProt query result; keep as REVIEW_BEFORE_IMPORT.",NO
Dicamba,Bassia scoparia (Summer cypress) (Kochia scoparia),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"Choline monooxygenase, chloroplastic (EC 1.14.15.7)",,,,,,,SUPPLEMENTED,Q6TN16,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia fynbosensis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,WP_175159324.1,,,SUPPLEMENTED,A0A6J5FW94,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Pararobbsia alpina,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,WP_175107302.1,,,SUPPLEMENTED,A0A6S7BGC5,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia aspalathi,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,,,,SUPPLEMENTED,A0ABM8QSU0,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia haematera,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,WP_211610922.1,,,SUPPLEMENTED,A0ABM8R457,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia sediminicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_1,,,,,SUPPLEMENTED,A0A6J5AS15,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia gardini,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_1,,WP_228978022.1,,,SUPPLEMENTED,A0ABM8U2Z2,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia sediminicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_2,,WP_175055012.1,,,SUPPLEMENTED,A0A6J5CUH5,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia gardini,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_2,,,,,SUPPLEMENTED,A0ABN7QRS1,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia sediminicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_3,,,,,SUPPLEMENTED,A0A6J5CWL6,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Dicamba,Paraburkholderia gardini,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_3,,WP_228981494.1,,,SUPPLEMENTED,A0ABM8U7V5,,,Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Glyphosate,Achromobacter aegrifaciens,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Lyase,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1),,RIU57_30195,,WP_054451481.1,,,SUPPLEMENTED,A0AAD2IWK4,,,Imported from UniProt query 'glyphosate C-P lyase phnJ'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Glyphosate,Ochrobactrum sp. G-1,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Gox,,gox,,,,,SUPPLEMENTED,D2KI28,,,Imported from UniProt query 'glyphosate oxidoreductase gox'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Caballeronia cordobensis (Burkholderia cordobensis),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_235024163.1,,,SUPPLEMENTED,A0A158G590,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Clavibacter michiganensis subsp. michiganensis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase,,opd,,,,,SUPPLEMENTED,A0A251XP16,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Mycolicibacterium tokaiense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,,,,SUPPLEMENTED,A0A378THF5,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Mycobacterium basiliense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_158015061.1,,,SUPPLEMENTED,A0A3S4BBP7,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Symmachiella dynata,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_145378425.1,,,SUPPLEMENTED,A0A517ZTT4,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Polystyrenella longa,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_144997505.1,,,SUPPLEMENTED,A0A518CRH9,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Symmachiella macrocystis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_146372072.1,,,SUPPLEMENTED,A0A5C6BS74,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Corynebacterium occultum,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_156230508.1,,,SUPPLEMENTED,A0A6B8VS40,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Nocardia aurantia,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_319942682.1,,,SUPPLEMENTED,A0A7K0DJ92,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Mycobacterium avium subsp. avium,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,,,,SUPPLEMENTED,A0ACG7XLW8,,,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Pyrethroids,Caballeronia choica,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,,,,SUPPLEMENTED,A0A158KWC7,,,Imported from UniProt query 'gene:estP pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
